TestName,StartTime,TimeStamp,ActionDesc,ActionDuration,
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:33,005 Set field 'Target Unit' to value 'Package',281,Client
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:33,006 Apply changes,1625,PriceExplorer
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:33,007 Set field 'Target Unit' to value 'Piece',469,Client
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:33,008 Set field 'Y Axis' to value 'Percent',484,Client
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:33,009 Apply changes,1953,PriceExplorer
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:33,010 Select graph type 'Scatter',2500,PriceExplorer
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:33,011 Filter by time,3266,PriceExplorer
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:34,012 Clear filters,734,PriceExplorer
A - Price Explorer,12/15/2010 17:32,12/15/2010 17:34,013 Logout ,1672,Login
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:34,001 Open login page,219,Other
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:34,002 Login as 'regadminNL2',1797,Login
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:34,003 Navigate in main menu to 'Track and Analyze',7469,FolderNavigation
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:34,004 Navigate in folders to 'Price Explorer',2875,FolderNavigation
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:34,005 Set field 'Target Unit' to value 'Package',313,Client
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:35,006 Apply changes,1781,PriceExplorer
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:35,007 Set field 'Target Unit' to value 'Piece',188,Client
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:35,008 Set field 'Y Axis' to value 'Percent',219,Client
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:35,009 Apply changes,1625,PriceExplorer
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:35,010 Select graph type 'Scatter',1906,PriceExplorer
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:35,011 Filter by time,3016,PriceExplorer
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:35,012 Clear filters,1047,PriceExplorer
A - Price Explorer,12/15/2010 17:34,12/15/2010 17:36,013 Logout ,1266,Login
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:36,001 Open login page,141,Other
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:36,002 Login as 'regadminNL2',1875,Login
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:36,003 Navigate in main menu to 'Track and Analyze',7609,FolderNavigation
