TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
B - Revenue Causality dashboard,2011/04/15 04:52:08,2011/04/15 04:52:08,"001 Open login page",297,"Other"
B - Revenue Causality dashboard,2011/04/15 04:52:08,2011/04/15 04:52:28,"002 Login as 'pt_managerSW' and wait for dashboard",19954,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 04:52:08,2011/04/15 04:52:41,"003 Load dashboard 'Revenue Causality'",13141,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 04:52:08,2011/04/15 04:53:14,"004 Dashboard clear drills",7782,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 04:52:08,2011/04/15 04:54:18,"005 Set time period in dashboard",2422,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 04:52:08,2011/04/15 04:54:53,"006 Set field 'Target Unit' to value 'Meter'",27173,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:08:13,"001 Open login page",297,"Other"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:08:33,"002 Login as 'pt_managerSW' and wait for dashboard",19970,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:08:47,"003 Load dashboard 'Revenue Causality'",14219,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:09:24,"004 Dashboard clear drills",10907,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:10:10,"005 Set time period in dashboard",2781,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:10:51,"006 Set field 'Target Unit' to value 'Meter'",33658,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:11:19,"007 Set field 'Target Unit' to value 'Piece'",21001,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:11:53,"008 Dashboard drill down by 'Territory' 'SE'",26236,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 05:08:13,2011/04/15 05:12:20,"009 Dashboard drill down by 'Territory' 'BT LV SE'",19563,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:42:25,"001 Open login page",312,"Other"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:42:42,"002 Login as 'pt_managerSW' and wait for dashboard",16437,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:42:53,"003 Load dashboard 'Revenue Causality'",11140,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:43:24,"004 Dashboard clear drills",9547,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:44:17,"005 Set time period in dashboard",18640,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:44:40,"006 Set field 'Target Unit' to value 'Meter'",16531,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:45:05,"007 Set field 'Target Unit' to value 'Piece'",17312,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:45:32,"008 Dashboard drill down by 'Territory' 'SE'",19765,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:45:50,"009 Dashboard drill down by 'Territory' 'BT LV SE'",11344,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:46:09,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",11219,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:46:27,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",11078,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:47:15,"012 Dashboard clear drills",14344,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:42:25,2011/04/15 06:47:25,"013 Logout ",2813,"Login"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:47:25,"001 Open login page",219,"Other"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:47:42,"002 Login as 'pt_managerSW' and wait for dashboard",16422,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:47:53,"003 Load dashboard 'Revenue Causality'",11328,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:48:25,"004 Dashboard clear drills",11063,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:49:07,"005 Set time period in dashboard",3094,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:49:46,"006 Set field 'Target Unit' to value 'Meter'",30657,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:50:15,"007 Set field 'Target Unit' to value 'Piece'",21719,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:50:47,"008 Dashboard drill down by 'Territory' 'SE'",24594,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:51:07,"009 Dashboard drill down by 'Territory' 'BT LV SE'",12531,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:51:26,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",12578,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 06:47:25,2011/04/15 06:51:45,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",11672,"Dashboard"
