TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 04:52:40,2011/04/15 04:52:40,"001 Open login page",406,"Other"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 04:52:40,2011/04/15 04:52:59,"002 Login as 'pt_marketingFI' and wait for dashboard",18938,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 04:52:40,2011/04/15 04:53:09,"003 Load dashboard 'Revenue Causality'",10282,"Dashboard"
C - Revenue Causality dashboard without SalesDistrict,2011/04/15 04:52:40,2011/04/15 04:54:01,"004 Dashboard clear drills",27345,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:08:46,"001 Open login page",313,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:08:49,"002 Login as 'pt_pricingmanUK' and wait for dashboard",3000,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:08:51,"003 Navigate in main menu to 'Manage Prices'",1781,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:08:56,"004 Navigate in folders to 'L1 Price Setting'",4641,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:09:13,"005 Open Worksheet 'L1 Prices'",938,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:09:20,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",500,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:09:28,"007 Set Filter 'PCK','60mm Busbar system'",344,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:09:37,"008 Navigate in main menu to 'Manage Prices'",1922,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:09:40,"009 Navigate in folders to 'L2 Price Setting'",2719,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:10:01,"010 Open Worksheet 'L2 Price'",3485,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:08:46,2011/04/15 05:10:08,"011 Logout ",703,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:08,"001 Open login page",219,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:11,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2219,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:12,"003 Navigate in main menu to 'Manage Prices'",1391,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:14,"004 Navigate in folders to 'L1 Price Setting'",2000,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:31,"005 Open Worksheet 'L1 Prices'",656,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:40,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",1984,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:48,"007 Set Filter 'PCK','60mm Busbar system'",563,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:56,"008 Navigate in main menu to 'Manage Prices'",1797,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:10:58,"009 Navigate in folders to 'L2 Price Setting'",1734,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:11:16,"010 Open Worksheet 'L2 Price'",969,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:10:08,2011/04/15 05:11:24,"011 Logout ",609,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:11:24,"001 Open login page",172,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:11:26,"002 Login as 'pt_pricingmanUK' and wait for dashboard",1938,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:11:27,"003 Navigate in main menu to 'Manage Prices'",1438,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:11:29,"004 Navigate in folders to 'L1 Price Setting'",1625,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:11:47,"005 Open Worksheet 'L1 Prices'",1813,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:11:58,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",3485,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:12:06,"007 Set Filter 'PCK','60mm Busbar system'",422,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:12:17,"008 Navigate in main menu to 'Manage Prices'",4172,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:12:20,"009 Navigate in folders to 'L2 Price Setting'",3219,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 05:11:24,2011/04/15 05:12:37,"010 Open Worksheet 'L2 Price'",609,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:45:25,"001 Open login page",406,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:45:27,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2094,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:45:29,"003 Navigate in main menu to 'Manage Prices'",1437,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:45:30,"004 Navigate in folders to 'L1 Price Setting'",1422,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:45:46,"005 Open Worksheet 'L1 Prices'",734,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:45:54,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",406,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:46:02,"007 Set Filter 'PCK','60mm Busbar system'",375,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:46:10,"008 Navigate in main menu to 'Manage Prices'",1297,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:46:11,"009 Navigate in folders to 'L2 Price Setting'",1297,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:46:27,"010 Open Worksheet 'L2 Price'",594,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:45:25,2011/04/15 06:46:35,"011 Logout ",516,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:46:35,"001 Open login page",156,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:46:37,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2031,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:46:42,"003 Navigate in main menu to 'Manage Prices'",4937,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:46:49,"004 Navigate in folders to 'L1 Price Setting'",7312,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:47:06,"005 Open Worksheet 'L1 Prices'",688,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:47:14,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",547,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:47:21,"007 Set Filter 'PCK','60mm Busbar system'",359,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:47:30,"008 Navigate in main menu to 'Manage Prices'",1375,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:47:31,"009 Navigate in folders to 'L2 Price Setting'",1219,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:47:47,"010 Open Worksheet 'L2 Price'",594,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:46:35,2011/04/15 06:47:55,"011 Logout ",422,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:47:55,"001 Open login page",125,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:47:57,"002 Login as 'pt_pricingmanUK' and wait for dashboard",1781,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:47:58,"003 Navigate in main menu to 'Manage Prices'",1203,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:47:59,"004 Navigate in folders to 'L1 Price Setting'",1203,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:48:16,"005 Open Worksheet 'L1 Prices'",813,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:48:23,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",422,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:48:31,"007 Set Filter 'PCK','60mm Busbar system'",391,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:48:40,"008 Navigate in main menu to 'Manage Prices'",1766,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:48:42,"009 Navigate in folders to 'L2 Price Setting'",1781,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:48:58,"010 Open Worksheet 'L2 Price'",625,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:47:55,2011/04/15 06:49:06,"011 Logout ",609,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:06,"001 Open login page",234,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:08,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2281,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:10,"003 Navigate in main menu to 'Manage Prices'",1813,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:12,"004 Navigate in folders to 'L1 Price Setting'",1734,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:29,"005 Open Worksheet 'L1 Prices'",781,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:36,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",469,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:44,"007 Set Filter 'PCK','60mm Busbar system'",500,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:53,"008 Navigate in main menu to 'Manage Prices'",1531,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:49:54,"009 Navigate in folders to 'L2 Price Setting'",1703,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:50:11,"010 Open Worksheet 'L2 Price'",469,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:49:06,2011/04/15 06:50:18,"011 Logout ",453,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:50:19,"001 Open login page",156,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:50:20,"002 Login as 'pt_pricingmanUK' and wait for dashboard",1672,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:50:22,"003 Navigate in main menu to 'Manage Prices'",1219,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:50:23,"004 Navigate in folders to 'L1 Price Setting'",1359,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:50:40,"005 Open Worksheet 'L1 Prices'",844,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:50:47,"006 Set Filter 'HQPriceGroup','60mm Busbar system'",453,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:50:55,"007 Set Filter 'PCK','60mm Busbar system'",500,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:51:04,"008 Navigate in main menu to 'Manage Prices'",1469,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:51:05,"009 Navigate in folders to 'L2 Price Setting'",1422,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:51:22,"010 Open Worksheet 'L2 Price'",609,"Workbook"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:50:18,2011/04/15 06:51:29,"011 Logout ",500,"Login"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:30,"001 Open login page",219,"Other"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:32,"002 Login as 'pt_pricingmanUK' and wait for dashboard",2094,"Dashboard"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:33,"003 Navigate in main menu to 'Manage Prices'",1297,"FolderNavigation"
I - Open L1 and L2 Price Setting Workbook,2011/04/15 06:51:29,2011/04/15 06:51:35,"004 Navigate in folders to 'L1 Price Setting'",1953,"FolderNavigation"
