#Country,RPG,PCK,deleted
DK,S32,4835,FALSE
DK,VTE,4835,FALSE
DK,VTE,9617,FALSE
DK,VTE,5853,FALSE
SE,VTE,3700,FALSE
GB,VTE,3700,FALSE
SE,VTE,9610,FALSE
GB,VTE,9610,FALSE
SE,S32,9620,FALSE
GB,S32,4770,FALSE
DK,S32,4770,FALSE
SE,SE5,5832,FALSE
DK,VTE,3703,FALSE
SE,SE5,4773,FALSE
DK,SE5,3704,FALSE
DK,VTE,9624,FALSE
GB,VTE,9634,FALSE
NL,S32,9634,FALSE
SE,VTE,9634,FALSE
SE,SE5,4844,FALSE
DK,SE5,4844,FALSE
GB,SE5,4844,FALSE
GB,SE5,4835,FALSE
DK,SE5,5675,FALSE
SE,SE5,4717,FALSE
GB,S32,4710,FALSE
SE,SE5,9620,FALSE
GB,S32,9620,FALSE
DK,S32,9620,FALSE
SE,S32,9511,FALSE
SE,SE5,4842,FALSE
DK,SE5,4782,FALSE
GB,VTE,3703,FALSE
GB,SE5,4773,FALSE
DK,SE5,4773,FALSE
DK,VHO,2414,FALSE
SE,VTE,3754,FALSE
SE,VTE,3715,FALSE
DK,SE5,4835,FALSE
DK,S32,3745,FALSE
DK,VHO,5675,FALSE
GB,SE5,4778,FALSE
SE,SE5,9610,FALSE
DK,SE5,9610,FALSE
GB,SE5,9610,FALSE
DK,S32,4710,FALSE
GB,SE5,9620,FALSE
DK,VTE,4770,FALSE
DK,SE5,4770,FALSE
SE,S32,4780,FALSE
DK,SE5,4842,FALSE
SE,VTE,3703,FALSE
DK,SE5,4723,FALSE
GB,SE5,3704,FALSE
SE,VTE,9624,FALSE
GB,VTE,3754,FALSE
GB,SE5,3754,FALSE
SE,SE5,3745,FALSE
DK,SE5,3755,FALSE
SE,VTE,3707,FALSE
DK,VTE,3707,FALSE
DK,S32,4717,FALSE
GB,S32,9358,FALSE
GB,SE5,4759,FALSE
DK,S32,3740,FALSE
DK,S32,9511,FALSE
SE,SE5,4782,FALSE
DK,VTE,3754,FALSE
GB,SE5,9695,FALSE
DK,SE5,9695,FALSE
SE,SE5,9668,FALSE
DK,SE5,3740,FALSE
SE,SE5,3740,FALSE
SE,VTE,4770,FALSE
SE,S32,4770,FALSE
DK,SE5,4780,FALSE
GB,S32,9511,FALSE
DK,SE5,5832,FALSE
GB,SE5,4782,FALSE
SE,SE5,3754,FALSE
SE,S32,4717,FALSE
GB,SE5,9668,FALSE
DK,SE5,4759,FALSE
SE,SE5,4759,FALSE
DK,VTE,3700,FALSE
DK,VTE,9610,FALSE
SE,S32,4710,FALSE
GB,S32,3740,FALSE
SE,S32,3740,FALSE
GB,VTE,4770,FALSE
SE,SE5,4770,FALSE
GB,SE5,4770,FALSE
SE,SE5,4780,FALSE
GB,SE5,4780,FALSE
GB,S32,4780,FALSE
GB,SE5,5832,FALSE
SE,VTE,3704,FALSE
SE,SE5,3704,FALSE
DK,VTE,9634,FALSE
DK,SE5,3754,FALSE
GB,SE5,3745,FALSE
SE,S32,3745,FALSE
SE,SE5,3755,FALSE
GB,SE5,3755,FALSE
DK,SE5,4775,FALSE
SE,SE5,4775,FALSE
SE,SE5,9695,FALSE
GB,S32,4717,FALSE
SE,SE5,4778,FALSE
DK,SE5,9620,FALSE
SE,VTE,4780,FALSE
DK,VTE,4780,FALSE
GB,VTE,4780,FALSE
SE,SE5,4723,FALSE
DK,VTE,3715,FALSE
GB,S32,3745,FALSE
SE,SE5,5675,FALSE
GB,SE5,4717,FALSE
SE,S32,9358,FALSE
GB,SE5,3740,FALSE
DK,VHO,3740,FALSE
DK,S32,4780,FALSE
GB,SE5,4842,FALSE
GB,SE5,4723,FALSE
DK,VTE,3704,FALSE
GB,VTE,3704,FALSE
GB,VTE,9624,FALSE
GB,VTE,3715,FALSE
SE,SE5,4835,FALSE
DK,SE5,3745,FALSE
GB,SE5,5675,FALSE
GB,SE5,4775,FALSE
GB,VTE,3707,FALSE
DK,SE5,4717,FALSE
DK,S32,9358,FALSE
DK,SE5,9668,FALSE
DK,SE5,4778,FALSE

