#InternalMaterialNo,MaterialDescription,ProductNoPrint,BaseUOM,PCK,ZOptions
100000880,SPARE PART F.POSITION SWITCH,3SX3102-Z,PC,5841,A16
100000939,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1DA00-1AC1-Z,PC,4770,B11+C12
100000970,SIMOVERT MASTERDRIVES,6SE7024-7TD61-Z,PC,9610,G93+K11
100000979,"CIRCUIT-BREAKER, 4-POLE",3VF3112-1HS41-0AA0-Z,PC,5825,A01
100000980,"CIRCUIT-BREAKER, 4-POLE",3VF3212-1MW41-0AA0-Z,PC,5825,A01
100000981,WITHDRAWABLE CIRCUIT BREAKER,3WN6481-0HB05-0AA1-Z,PC,5826,R20
100001161,"POSITION SWITCH, METAL-ENCLOSED",3SE3120-0UW-Z,PC,5841,A16
100001162,"POSITION SWITCH, METAL-ENCLOSED",3SE2120-0UW-Z,PC,5841,A16
100001208,SITRANS T UNIVERSAL TRANSMITTER,7NG3020-3JN00-Z,PC,4780,S76+Y01
100001219,SYNCHRONOUS SERVOMOTOR 1FT6,1FT6082-8AF71-1EB0-Z,PC,9628,V23
100001220,SYNCHRONOUS SERVOMOTOR 1FT6,1FT6084-8AC71-1EA0-Z,PC,9628,V16
100001226,SIMOVERT MASTERDRIVES,6SE7032-1TG60-Z,PC,9611,G93+K80
100001227,SIMOVERT MASTERDRIVES,6SE7023-8TD61-Z,PC,9610,G93+L33
100001228,SIMOVERT MASTERDRIVES,6SE7021-8TB61-Z,PC,9610,G93+L33
100001229,SIMOVERT MASTERDRIVES,6SE7018-0TA61-Z,PC,9610,G93+L33
100001245,SITRANS T UNIVERSAL TRANSMITTER,7NG3020-3JN10-Z,PC,4780,Y01
100001246,SITRANS T UNIVERSAL TRANSMITTER,7NG3020-3JN30-Z,PC,4780,Y01
100001247,SITRANS T UNIVERSAL TRANSMITTER,7NG3020-3JN70-Z,PC,4780,Y01
100001283,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1FA00-1BB1-Z,PC,4770,B11+C11+Y01+Y15
100001284,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1DA00-1BB1-Z,PC,4770,B11+C11+Y01+Y15
100001285,THREE-WAY VALVE BLOCK DN 5,7MF9411-5BA-Z,PC,4775,K16+M12
100001288,"SITRANS P DIFF. PRESSURE, DS III SERIES",7MF4433-1EA02-1BB1-Z,PC,4770,B11+C11+Y01+Y15
100001289,"SITRANS P DIFF. PRESSURE, DS III SERIES",7MF4433-1DA02-1BB1-Z,PC,4770,B11+C11+Y01+Y15
100001290,"SITRANS P DIFF. PRESSURE, DS III SERIES",7MF4433-1CA02-1BB1-Z,PC,4770,B11+C11+Y01+Y15
100001330,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1DA00-2AB1-Z,PC,4770,Y01
100001367,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1EA00-2AB6-Z,PC,4770,Y01
100001368,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1FA00-2AB6-Z,PC,4770,Y01
100001369,7MF4033-1BA00-2AB6-Z,7MF4033-1BA00-2AB6-Z,PC,4770,Y01
100001370,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1CA00-2AB6-Z,PC,4770,Y01
100001371,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-1DA00-2AB6-Z,PC,4770,Y01
100001372,"SITRANS P FOR PRESSURE, DS III SERIES",7MF4033-3DA00-2AB6-Z,PC,4770,Y01
100001373,HEADMOUNTED TEMPERATURE,7NG3120-0JN00-Z,PC,4780,Y01
100001377,LOW-PRESSURE SCREW-IN,7MC1007-5DA16-Z,PC,4780,K20+Y01
100001379,SYNCHRONOUS SERVOMOTOR 1FT6,1FT6061-6AC71-3EH0-Z,PC,9628,V03
100001390,SYNCHRONOUS SERVOMOTOR 1FT6,1FT6061-6AC71-3EA0-Z,PC,9628,V17
