#VName,VLabel,Country,Division
3211,IIA,NL,I IA
3221,IDT,NL,I DT
3231,Shared,NL,I IA
3234,IBT,NL,I BT
7011,IIA,GB,I IA
7021,IDT,GB,I DT
7031,Shared,GB,I IA
7034,IBT,GB,I BT
5411,IIA,DK,I IA
5421,IDT,DK,I DT
5431,Shared,DK,I IA
5434,IBT,DK,I BT
5811,IIA,SE,I IA
5821,IDT,SE,I DT
5831,Shared,SE,I IA
5834,IBT,SE,I BT
6011,IIA,PL,I IA
6021,IDT,PL,I DT
6031,Shared,PL,I IA
6034,IBT,PL,I BT
5011,IIA,FI,I IA
5021,IDT,FI,I DT
5031,Shared,FI,I IA
5034,IBT,FI,I BT
5111,IIA,NO,I IA
5121,IDT,NO,I DT
5131,Shared,NO,I IA
5134,IBT,NO,I BT
